prefix,name,type
us-gaap,AccountingStandardsUpdate201820RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201711RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201602Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201704Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201912RetrospectiveForFranchiseTaxBasedOnIncomeMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201812ModifiedRetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201602RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201809RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202110RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201615ProspectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201604CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingPolicyElectionNotToMeasureAllowanceForCreditLossForAccruedInterestAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201809Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201808Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201813Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202010Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202004Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202101Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201912CumulativeEffectPeriodOfAdoptionForFranchiseTaxBasedOnIncomeMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202001Member,dtr-types:domainItemType
us-gaap,AccountingChangesAndErrorCorrectionsLegacyAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201809CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201904ProspectiveForDerivativesAndHedgingMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201903Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201908AdoptionFiscalYearAfterAccountingStandardsUpdate201807RetrospectiveToAccountingStandardsUpdate201807Member,dtr-types:domainItemType
us-gaap,AccountingPolicyElectionAdjustmentOfEffectiveInterestRateAbstract,xbrli:stringItemType
us-gaap,AccountingStandardsUpdate201901CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201804Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201908AdoptionSameFiscalYearAsAccountingStandardsUpdate201807CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201911Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201712Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202010RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202101ProspectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201901Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201815Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201814Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201709Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201711Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201801Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201710Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202105ProspectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202105RetrospectiveMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate202104Member,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201602CumulativeEffectPeriodOfAdoptionMember,dtr-types:domainItemType
us-gaap,AccountingStandardsUpdate201601Member,dtr-types:domainItemType
