"symbol","cik","exchange","industry","sector"
"NYXH","0001857190","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"NVTS","0001821769","NASDAQ","Semiconductors","Technology"
"SRRK","0001727196","NASDAQ","Biotechnology","Healthcare"
"CERS","0001020214","NASDAQ","Medical - Devices","Healthcare"
"NEWTI","0001587987","NASDAQ","Financial - Credit Services","Financial Services"
"CSGS","0001005757","NASDAQ","Software - Infrastructure","Technology"
"GTEC","0001735041","NASDAQ","Industrial - Machinery","Industrials"
"HUBG","0000940942","NASDAQ","Integrated Freight & Logistics","Industrials"
"PLUG","0001093691","NASDAQ","Electrical Equipment & Parts","Industrials"
"MELI","0001099590","NASDAQ","Specialty Retail","Consumer Cyclical"
"SVAC","0002074850","NASDAQ","Asset Management","Financial Services"
"BNGO","0001411690","NASDAQ","Medical - Diagnostics & Research","Healthcare"
"TDTH","0001983550","NASDAQ","Information Technology Services","Technology"
"HBNB","0001866001","NASDAQ","Real Estate - Services","Real Estate"
"CMCSA","0001166691","NASDAQ","Telecommunications Services","Communication Services"
"SKWD","0001519449","NASDAQ","Insurance - Property & Casualty","Financial Services"
"TOI","0001799191","NASDAQ","Medical - Care Facilities","Healthcare"
"BTDR","0001899123","NASDAQ","Software - Application","Technology"
"CME","0001156375","NASDAQ","Financial - Data & Stock Exchanges","Financial Services"
"SA","0001231346","NYSE","Gold","Basic Materials"
"MFIN","0001000209","NASDAQ","Financial - Credit Services","Financial Services"
"NAVN","0001639723","NASDAQ","Software - Application","Technology"
"OXLC","0001495222","NASDAQ","Asset Management","Financial Services"
"ALHC","0001832466","NASDAQ","Medical - Healthcare Plans","Healthcare"
"MBVIU","0002073928","NASDAQ","Shell Companies","Financial Services"
"BRSL","0001619762","NYSE","Gambling, Resorts & Casinos","Consumer Cyclical"
"ETOR","0001493318","NASDAQ","Financial - Capital Markets","Financial Services"
"DJCO","0000783412","NASDAQ","Software - Application","Technology"
"TLN","0001622536","NASDAQ","Independent Power Producers","Utilities"
"DGNX","0002010499","NASDAQ","Software - Application","Technology"
"CTNM","0001855175","NASDAQ","Biotechnology","Healthcare"
"SMR","0001822966","NYSE","Renewable Utilities","Utilities"
"FISV","0000798354","NASDAQ","Information Technology Services","Technology"
"CDTG","0001793895","NASDAQ","Waste Management","Industrials"
"DXCM","0001093557","NASDAQ","Medical - Devices","Healthcare"
"UHG","0001830188","NASDAQ","Residential Construction","Consumer Cyclical"
"AMTB","0001734342","NASDAQ","Banks - Regional","Financial Services"
"PGNY","0001551306","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"NTGR","0001122904","NASDAQ","Communication Equipment","Technology"
"WRD","0001867729","NASDAQ","Software - Infrastructure","Technology"
"LYEL","0001806952","NASDAQ","Biotechnology","Healthcare"
"GERN","0000886744","NASDAQ","Biotechnology","Healthcare"
"CEP","0001865602","NASDAQ","Shell Companies","Financial Services"
"WKHS","0001425287","NASDAQ","Auto - Manufacturers","Consumer Cyclical"
"CG","0001527166","NASDAQ","Asset Management","Financial Services"
"CVAC","0001809122","NASDAQ","Biotechnology","Healthcare"
"SBGI","0001971213","NASDAQ","Entertainment","Communication Services"
"ASST","0001920406","NASDAQ","Asset Management","Communication Services"
"DGXX","0001854368","NASDAQ","Software - Infrastructure","Technology"
"RRR","0001653653","NASDAQ","Gambling, Resorts & Casinos","Consumer Cyclical"
"SYBX","0001527599","NASDAQ","Biotechnology","Healthcare"
"UXIN","0001729173","NASDAQ","Auto - Dealerships","Consumer Cyclical"
"TW","0001758730","NASDAQ","Financial - Capital Markets","Financial Services"
"GVH","0001978527","NASDAQ","Integrated Freight & Logistics","Industrials"
"FWONK","0001560385","NASDAQ","Entertainment","Communication Services"
"IMDX","0001642380","NASDAQ","Biotechnology","Healthcare"
